id, title, author, rating, cover 
34,Beheld,TaraShea Nesbit, 3.49 avg rating — 3466 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562684421i/44453031._SY75_.jpg
35,The Dead Are Arising: The Life of Malcolm X,Les Payne, 4.33 avg rating — 2305 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1616037992i/50489321._SY75_.jpg
36,Djinn Patrol on the Purple Line,Deepa Anappara, 3.84 avg rating — 8046 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569249414i/45755173._SY75_.jpg
37,Fallout: The Hiroshima Cover-up and the Reporter Who Revealed It to the World,Lesley M.M. Blume, 4.09 avg rating — 1650 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576421390i/52764193._SY75_.jpg
38,The Duke Who Didn't (Wedgeford Trials #1),Courtney Milan, 3.93 avg rating — 3703 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599267784i/55012301._SY75_.jpg
39,Memorial,Bryan Washington, 3.58 avg rating — 22021 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606246904l/48902303._SX50_SY75_.jpg
40,Memorial Drive: A Daughter's Memoir,Natasha Trethewey, 4.26 avg rating — 14775 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572991814i/48613168._SY75_.jpg
41,The Memory Monster,Yishai Sarid, 4.09 avg rating — 1070 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589299420i/53401989._SX50_.jpg
42,Jack,Marilynne Robinson, 3.89 avg rating — 6118 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1616102902i/50403478._SY75_.jpg
43,A Pilgrimage to Eternity: From Canterbury to Rome in Search of a Faith,Timothy Egan, 4.12 avg rating — 2592 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564753333i/44140367._SY75_.jpg
44,Overground Railroad: The Green Book  Roots of Black Travel in America,Candacy A. Taylor, 4.23 avg rating — 1258 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565443204i/43908981._SX50_.jpg
45,Man of My Time,Dalia Sofer, 3.92 avg rating — 341 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574460537i/48916105._SY75_.jpg
46,A Peculiar Indifference: The Neglected Toll of Violence on Black America,Elliott Currie,4.00 avg rating — 205 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586240105i/50403528._SY75_.jpg
47,The Mercies,Kiran Millwood Hargrave, 4.01 avg rating — 23287 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559571087i/46138193._SY75_.jpg
48,The Mirror & the Light (Thomas Cromwell #3),Hilary Mantel, 4.39 avg rating — 27761 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578295385i/45992717._SY75_.jpg
49,The Saddest Words: William Faulkner's Civil War,Michael Gorra, 4.41 avg rating — 214 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578143975i/50270955._SY75_.jpg
50,The Selected Letters of Ralph Ellison,Ralph Ellison, 4.39 avg rating — 46 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553041320i/39404425._SY75_.jpg
51,Owls of the Eastern Ice: A Quest to Find and Save the World's Largest Owl,Jonathan C. Slaght, 4.19 avg rating — 2872 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569893852l/51542211._SX50_SY75_.jpg
52,Notes on a Silencing,Lacy Crawford, 4.26 avg rating — 6060 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573675048i/48717403._SY75_.jpg
53,The Third Rainbow Girl: The Long Life of a Double Murder in Appalachia,Emma Copley Eisenberg, 3.14 avg rating — 4509 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549947616i/37655694._SY75_.jpg
54,War: How Conflict Shaped Us,Margaret MacMillan, 3.56 avg rating — 1895 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592277790i/54111936._SY75_.jpg
55,Why I Don't Write,Susan Minot, 3.43 avg rating — 323 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582073848i/48509097._SY75_.jpg
56,The Aosawa Murders,Riku Onda, 3.62 avg rating — 3266 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563310080l/51054767._SX50_SY75_.jpg
57,The Beauty in Breaking,Michele Harper, 3.83 avg rating — 20095 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574743008l/50043108._SX50_SY75_.jpg
58,The Beauty of Your Face,Sahar Mustafah, 4.20 avg rating — 3033 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1561606981i/45894170._SY75_.jpg
59,The Biggest Bluff: How I Learned to Pay Attention Master Myself and Win,Maria Konnikova, 4.09 avg rating — 9028 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585143928i/49814228._SY75_.jpg
60,Blacktop Wasteland,S.A. Cosby, 4.10 avg rating — 18886 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573874784i/51182571._SY75_.jpg
61,The Boy in the Field,Margot Livesey, 3.74 avg rating — 5912 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580102974i/48836860._SX50_.jpg
62,Yellow Bird: Oil Murder and a Woman's Search for Justice in Indian Country,Sierra Crane Murdoch, 3.74 avg rating — 3434 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580321124i/46180988._SY75_.jpg
63,Burning Down the House: Newt Gingrich the Fall of a Speaker and the Rise of the New Republican Party,Julian E. Zelizer, 3.81 avg rating — 403 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565060322l/52739194._SX50_SY75_.jpg
64,The Vapors: A Southern Family the New York Mob and the Rise and Fall of Hot Springs America's Forgotten Capital of Vice,David Hill, 3.80 avg rating — 1188 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572994502l/51542010._SX50_SY75_.jpg
65,Wagnerism: Art and Politics in the Shadow of Music,Alex  Ross, 4.20 avg rating — 557 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587963444i/50403493._SY75_.jpg
66,The Death of Jesus,J.M. Coetzee, 3.82 avg rating — 746 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558869943i/46017479._SY75_.jpg
67,Deaths of Despair and the Future of Capitalism,Anne Case, 3.84 avg rating — 1271 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581407737i/51801314._SY75_.jpg
68,The WEIRDest People in the World: How the West Became Psychologically Peculiar and Particularly Prosperous,Joseph Henrich, 4.18 avg rating — 1301 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582603169i/51710349._SY75_.jpg
69,Desert Notebooks: A Road Map for the End of Time,Ben Ehrenreich, 3.50 avg rating — 488 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582567180i/50762115._SY75_.jpg
70,Who Gets In and Why: A Year Inside College Admissions,Jeffrey J. Selingo, 4.22 avg rating — 1509 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585295138i/52765755._SY75_.jpg
71,A Dominant Character: The Radical Science and Restless Politics of J. B. S. Haldane,Samanth Subramanian, 3.96 avg rating — 135 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586550559i/53121866._SY75_.jpg
72,The Dragons the Giant the Women: A Memoir,Wayétu Moore, 4.28 avg rating — 1970 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568829776l/50870505._SX50_SY75_.jpg
73,Eat the Buddha: Life and Death in a Tibetan Town,Barbara Demick, 4.12 avg rating — 3265 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598632868i/33877608._SY75_.jpg
74,The End of Everything,Katie Mack, 4.26 avg rating — 5256 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574199214i/52767659._SY75_.jpg
75,Everywhere You Don't Belong,Gabriel Bump, 3.70 avg rating — 2896 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573919058i/43212929._SY75_.jpg
76,Exercise of Power: American Failures Successes and a New Path Forward in the Post-Cold War World,Robert M. Gates, 4.16 avg rating — 439 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582786547i/49225559._SY75_.jpg
77,Feed,Tommy Pico, 4.26 avg rating — 432 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572986937i/43503667._SY75_.jpg
78,Felon: Poems,Reginald Dwayne Betts, 4.38 avg rating — 1587 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565069772i/43726561._SX50_.jpg
79,The Glass Kingdom,Lawrence Osborne, 3.18 avg rating — 1195 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591011647i/53734187._SY75_.jpg
80,The Hardhat Riot: Nixon New York City and the Dawn of the White Working-Class Revolution,David Paul Kuhn, 4.16 avg rating — 199 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581401345i/52047708._SY75_.jpg
81,Hurricane Season,Fernanda Melchor, 4.11 avg rating — 14037 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576017147i/46041168._SY75_.jpg
82,The Inevitability of Tragedy: Henry Kissinger and His World,Barry Gewen, 4.09 avg rating — 265 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579083014i/45894172._SX50_.jpg
83,Just Us: An American Conversation,Claudia Rankine, 4.38 avg rating — 2905 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579090422i/50403499._SX50_.jpg
84,Little Eyes,Samanta Schweblin, 3.63 avg rating — 11605 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576535877i/48635845._SY75_.jpg
85,The Loneliness of the Long-Distance Cartoonist,Adrian Tomine, 4.02 avg rating — 2841 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563996100i/51796259._SX50_.jpg
86,The Man Who Ran Washington: The Life and Times of James A. Baker III,Peter Baker, 4.46 avg rating — 1481 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566336560i/52230676._SY75_.jpg
87,Missionaries,Phil Klay, 3.90 avg rating — 2359 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582089298i/50482979._SY75_.jpg
88,Monogamy,Sue Miller, 3.55 avg rating — 18095 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582774241i/49398039._SY75_.jpg
89,97196 Words: Essays,Emmanuel Carrère, 3.99 avg rating — 271 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553524788i/43565350._SY75_.jpg
90,Obit,Victoria Chang, 4.35 avg rating — 1610 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585173082l/53029244._SX50_SY75_.jpg
91,The Quiet Americans: Four CIA Spies at the Dawn of the Cold War—A Tragedy in Three Acts,Scott Anderson, 4.17 avg rating — 1509 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582073967i/49524790._SY75_.jpg
92,Reaganland: America's Right Turn 1976-1980,Rick Perlstein, 4.29 avg rating — 1042 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591526359i/50403757._SY75_.jpg
93,Red Pill,Hari Kunzru, 3.71 avg rating — 3563 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586234140i/49188384._SX50_.jpg
94,Sea Wife,Amity Gaige, 3.67 avg rating — 9785 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569891876i/49666975._SX50_.jpg
95,Shakespeare in a Divided America: What His Plays Tell Us about Our Past and Future,James Shapiro, 4.12 avg rating — 2098 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565071814l/49512631._SX50_SY75_.jpg
96,The Sirens of Mars: Searching for Life on Another World,Sarah Stewart Johnson, 3.96 avg rating — 914 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580503016l/50751225._SX50_SY75_.jpg
97,Soul Full of Coal Dust: The True Story of an Epic Battle for Justice,Chris Hamby, 4.27 avg rating — 430 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588570850i/36546595._SY75_.jpg
98,This Is All I Got,Lauren Sandler, 4.39 avg rating — 878 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575340195i/51229737._SY75_.jpg
99,The Tunnel,A.B. Yehoshua, 3.68 avg rating — 771 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1612199248i/51341615._SX50_.jpg
100,A Woman Like Her: The Story Behind the Honor Killing of a Social Media Star,Sanam Maher, 3.67 avg rating — 1032 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575215452i/49023088._SY75_.jpg
